class_label,source_sample_id,source_group,name,rotation_degrees,gaussian_blur_kernel,gaussian_noise_sigma,contrast_factor,shadow_strength,shadow_angle_degrees,jpeg_quality,seed
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20260727
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,rotation,1.9560919484701915,0,0.0,1.0,0.0,25.0,100,20260728
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20260729
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,noise,0.0,0,4.561004423899745,1.0,0.0,25.0,100,20260730
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,contrast,0.0,0,0.0,0.6353286229936257,0.0,25.0,100,20260731
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,shadow,0.0,0,0.0,1.0,0.24131741857984634,41.7929819092965,100,20260732
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,70,20260733
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,combined,-0.519443830130229,3,4.442748392708273,0.7393969705460578,0.10008485042587467,18.035946898055645,65,20260734
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20260735
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,rotation,0.500556014521389,0,0.0,1.0,0.0,25.0,100,20260736
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20260737
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,noise,0.0,0,6.247637526232162,1.0,0.0,25.0,100,20260738
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,contrast,0.0,0,0.0,0.6531747713943094,0.0,25.0,100,20260739
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,shadow,0.0,0,0.0,1.0,0.187335379971812,50.933836761816046,100,20260740
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,57,20260741
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,combined,0.4398435974511321,3,3.084887116391513,0.7142242529692077,0.16253338385990557,23.35556761299769,70,20260742
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20260743
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,rotation,-1.8540735180332435,0,0.0,1.0,0.0,25.0,100,20260744
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20260745
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,noise,0.0,0,9.73648066549887,1.0,0.0,25.0,100,20260746
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,contrast,0.0,0,0.0,0.7268298068657999,0.0,25.0,100,20260747
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,shadow,0.0,0,0.0,1.0,0.12928456532651572,37.811570688650406,100,20260748
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,77,20260749
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,combined,0.0620948357242983,3,2.00630901737252,0.8264639730543238,0.15184465468053726,46.26947015215855,77,20260750
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20260751
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,rotation,-0.6205621916971835,0,0.0,1.0,0.0,25.0,100,20260752
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20260753
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,noise,0.0,0,6.629123986797145,1.0,0.0,25.0,100,20260754
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p001,NCT04470427,contrast,0.0,0,0.0,0.6236096672520351,0.0,25.0,100,20260755
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p002,NCT04470427,shadow,0.0,0,0.0,1.0,0.13507389531240044,20.42396318474752,100,20260756
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p025,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,71,20260757
CLINICAL_PROTOCOL,NCT04470427_clinical_protocol_p045,NCT04470427,combined,1.1192310485737567,3,4.003427493248214,0.7862767016069875,0.12337963085539762,25.089994817637024,56,20260758
CLINICAL_TABLE,NCT04470427_clinical_table_p005,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20360727
CLINICAL_TABLE,NCT04470427_clinical_table_p072,NCT04470427,rotation,0.1615787575790475,0,0.0,1.0,0.0,25.0,100,20360728
CLINICAL_TABLE,NCT04470427_clinical_table_p092,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20360729
CLINICAL_TABLE,NCT04470427_clinical_table_p099,NCT04470427,noise,0.0,0,5.317663006141249,1.0,0.0,25.0,100,20360730
CLINICAL_TABLE,NCT04470427_clinical_table_p005,NCT04470427,contrast,0.0,0,0.0,0.7442335473440739,0.0,25.0,100,20360731
CLINICAL_TABLE,NCT04470427_clinical_table_p072,NCT04470427,shadow,0.0,0,0.0,1.0,0.17723804942598315,25.310848249800774,100,20360732
CLINICAL_TABLE,NCT04470427_clinical_table_p092,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,66,20360733
CLINICAL_TABLE,NCT04470427_clinical_table_p099,NCT04470427,combined,0.4834328279410651,3,6.480040308505524,0.7295632932490453,0.09765457623465436,38.681662512859305,65,20360734
CLINICAL_TABLE,NCT04470427_clinical_table_p005,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20360735
CLINICAL_TABLE,NCT04470427_clinical_table_p072,NCT04470427,rotation,-0.5864216188848945,0,0.0,1.0,0.0,25.0,100,20360736
CLINICAL_TABLE,NCT04470427_clinical_table_p092,NCT04470427,blur,0.0,3,0.0,1.0,0.0,25.0,100,20360737
CLINICAL_TABLE,NCT04470427_clinical_table_p099,NCT04470427,noise,0.0,0,5.214877836181456,1.0,0.0,25.0,100,20360738
CLINICAL_TABLE,NCT04470427_clinical_table_p005,NCT04470427,contrast,0.0,0,0.0,0.8103531492760981,0.0,25.0,100,20360739
CLINICAL_TABLE,NCT04470427_clinical_table_p072,NCT04470427,shadow,0.0,0,0.0,1.0,0.20131690366777494,19.89595965905505,100,20360740
CLINICAL_TABLE,NCT04470427_clinical_table_p092,NCT04470427,jpeg,0.0,0,0.0,1.0,0.0,25.0,52,20360741
CLINICAL_TABLE,NCT04470427_clinical_table_p099,NCT04470427,combined,-1.126137607974146,3,2.3585547280408132,0.7677042748636501,0.19342895139872995,31.77734024254193,55,20360742
CLINICAL_TABLE,NCT04470427_clinical_table_p005,NCT04470427,clean,0.0,0,0.0,1.0,0.0,25.0,100,20360743
CLINICAL_TABLE,NCT04470427_clinical_table_p072,NCT04470427,rotation,0.6182856729109791,0,0.0,1.0,0.0,25.0,100,20360744
